image_names,roi,umap_x,umap_y,image_path,AF488_imagepath,AF555_imagepath,AF647_imagepath,AF750_imagepath,DAPI_imagepath
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi107_8,roi107,9.500217,8.373235,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi067_243,roi067,-0.86515635,10.413899,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi007_187,roi007,14.31791,1.3367584,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi058_182,roi058,8.033822,-0.5059614,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi037_136,roi037,8.396231,-0.19500616,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi032_246,roi032,9.492937,8.214847,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi001_17,roi001,-2.1992216,0.3547408,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi026_188,roi026,6.7894993,-1.7842618,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi102_206,roi102,9.1379175,6.6090045,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi087_53,roi087,13.08811,4.656391,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi012_4,roi012,-2.3730102,1.1361355,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi070_57,roi070,-4.2546372,-1.3219105,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi084_202,roi084,10.621366,0.498762,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
