donor,well,fov,id,umap_x,umap_y
AML1_M2,H2,190,11,2.4326212,1.1583457
AML1_M2,B2,18,12,3.2968593,1.878749
AML1_M2,F2,193,6,0.9398808,5.0200195
AML1_M2,D2,69,6,-0.85433644,7.3805213
AML1_M2,J2,9,19,-1.2526349,5.7826324
AML1_M2,H2,119,7,-1.8006616,5.656105
AML1_M2,D2,192,4,-1.9850746,5.1865993
AML1_M2,H2,167,15,-1.3540683,5.651322
AML1_M2,J2,240,11,-2.6185324,5.7905874
AML1_M2,F2,214,2,-2.3751426,5.989935
AML1_M2,B2,105,2,0.6107025,5.799429
AML1_M2,F2,245,7,-1.368274,8.085625
AML1_M2,F2,167,10,1.2447902,7.79284
AML1_M2,D2,32,3,3.3567464,9.240049
AML1_M2,B2,241,17,0.3354786,7.636506
AML1_M2,B2,196,17,-2.4319203,5.7596264
AML1_M2,H2,83,8,-1.2531556,4.4489455
AML1_M2,B2,168,18,-1.2594942,2.7635326
AML1_M2,D2,164,27,1.896021,0.7844074
AML1_M2,B2,158,17,-1.8248991,2.1813693
AML1_M2,D2,17,5,-1.3404714,5.7218347
AML1_M2,H2,225,5,-0.6617948,5.81863
AML1_M2,J2,66,20,0.29026046,-0.44471228
AML1_M2,D2,167,4,-0.6740129,5.642313
AML1_M2,H2,64,13,3.3472078,0.04832425
AML1_M2,H2,103,25,0.34402293,6.128513
AML1_M2,B2,126,9,-2.5718985,5.8678656
AML1_M2,D2,46,6,-0.96871316,5.6995125
AML1_M2,B2,143,21,1.648487,2.122071
AML1_M2,F2,79,6,0.56737655,6.154337
AML1_M2,D2,126,23,-2.789185,5.803278
AML1_M2,J2,237,16,-2.3803344,-1.7135113
AML1_M2,J2,139,17,2.7101994,6.631795
AML1_M2,B2,130,26,-1.9512283,5.491387
AML1_M2,B2,64,29,-1.3567982,5.09319
AML1_M2,H2,67,7,2.917286,6.9384484
AML1_M2,B2,68,19,-1.4502877,5.5834894
AML1_M2,B2,81,24,6.319822,2.406495
AML1_M2,B2,109,34,-1.9222511,-2.1579647
AML1_M2,B2,183,2,0.08378959,5.9329515
AML1_M2,B2,188,24,-2.7143366,5.7620096
AML1_M2,H2,138,14,-2.3311727,3.5910163
AML1_M2,B2,97,29,-1.386978,-2.8131092
AML1_M2,J2,125,15,-2.2909267,-0.2244458
AML1_M2,H2,74,10,-1.4014248,5.783473
AML1_M2,F2,44,6,-0.97486454,5.7448583
AML1_M2,B2,37,23,-1.1280894,5.521662
AML1_M2,D2,57,13,-2.0174186,5.1052103
AML1_M2,B2,91,11,0.33027843,4.91413
AML1_M2,H2,107,7,0.07944293,2.9720433
AML1_M2,H2,31,9,0.55435973,6.1960196
AML1_M2,B2,244,23,-2.0927818,5.640804
AML1_M2,F2,213,1,0.20660113,5.861331
AML1_M2,H2,153,9,-1.4378859,4.873026
AML1_M2,D2,76,2,-2.6980443,5.820754
AML1_M2,F2,52,10,2.5356271,2.21512
AML1_M2,B2,16,26,3.6846254,-0.6627856
AML1_M2,J2,156,16,0.4656575,5.3992815
AML1_M2,B2,89,11,-1.7636322,5.354382
AML1_M2,D2,225,2,-0.23455349,6.0445795
AML1_M2,B2,141,23,-1.0188966,0.3429921
AML1_M2,J2,21,11,3.8911438,-1.1985704
AML1_M2,D2,218,6,-2.3248267,5.7324696
AML1_M2,F2,225,2,-1.3064579,4.7737446
AML1_M2,H2,176,20,-0.9574333,6.2594366
AML1_M2,H2,66,15,2.7184567,-1.0835652
AML1_M2,J2,185,9,-2.8405442,5.8159046
AML1_M2,H2,136,3,-1.7074476,5.392608
AML1_M2,B2,87,18,-2.0173233,6.0064116
AML1_M2,D2,230,15,0.5133717,-0.47577253
AML1_M2,B2,134,5,-2.6234736,5.883703
AML1_M2,H2,211,1,-1.8304293,5.523595
AML1_M2,J2,225,11,-1.5623779,5.705177
AML1_M2,B2,153,17,-0.46659085,-0.27242476
AML1_M2,F2,60,16,-0.34445715,5.3729615
AML1_M2,F2,249,6,-2.5518506,-1.5719451
AML1_M2,B2,207,3,-2.0515668,5.990853
AML1_M2,H2,189,15,-2.0489454,5.5491734
AML1_M2,B2,71,14,-1.2381766,5.863638
AML1_M2,F2,64,8,-1.471828,5.116446
AML1_M2,H2,240,21,3.450386,-1.326451
AML1_M2,J2,218,6,-2.4585128,5.8311872
AML1_M2,D2,77,11,-2.2981613,5.7243075
AML1_M2,D2,194,21,2.8994472,7.1035967
AML1_M2,J2,150,4,-1.5634754,5.515871
AML1_M2,H2,241,2,-1.6472003,5.7653375
AML1_M2,F2,90,9,3.1421418,7.4369044
AML1_M2,D2,57,4,-0.44317618,7.4279428
AML1_M2,H2,74,8,1.0659782,2.3504887
AML1_M2,D2,36,7,-0.525063,6.1866174
AML1_M2,B2,198,9,-2.078156,5.185832
AML1_M2,B2,53,7,-1.4346695,5.1196356
AML1_M2,F2,131,1,-0.8619268,5.6790133
AML1_M2,H2,193,11,-1.8163472,5.4795346
AML1_M2,D2,145,1,0.33382568,5.8378477
AML1_M2,J2,87,3,-1.5212864,5.691763
AML1_M2,J2,122,21,-2.4833696,5.5103855
AML1_M2,H2,149,16,-1.4749213,5.2579017
AML1_M2,J2,9,55,-0.0045791804,3.6216877
AML1_M2,F2,85,11,-0.6941881,-0.3958323
AML1_M2,J2,80,12,-2.377191,5.638293
AML1_M2,F2,152,8,-1.5680197,6.592267
AML1_M2,B2,146,25,2.6795492,5.8694825
AML1_M2,B2,138,35,7.0361705,4.3801913
AML1_M2,J2,214,1,-2.0316792,6.1656837
AML1_M2,F2,145,9,-2.442373,5.4477367
AML1_M2,B2,225,14,-1.1109688,5.617042
AML1_M2,B2,235,13,-0.70141965,7.446818
AML1_M2,F2,8,9,-1.8875599,5.3616796
AML1_M2,B2,16,12,3.0412674,7.4630947
AML1_M2,H2,239,7,-1.4628264,4.2718487
AML1_M2,B2,211,25,-1.710276,3.6556077
AML1_M2,B2,139,34,3.0832577,-0.52710086
AML1_M2,B2,94,15,-0.024444032,3.7305887
AML1_M2,J2,211,2,-2.951766,5.8712764
AML1_M2,H2,122,2,-1.2737924,5.9272842
AML1_M2,B2,114,15,-1.6006868,5.5083456
AML1_M2,B2,228,9,-0.9889406,-2.2582479
AML1_M2,J2,95,5,-0.69621617,5.124643
AML1_M2,F2,227,6,-0.59713835,5.74035
AML1_M2,D2,133,1,-2.4726968,5.951725
AML1_M2,B2,175,2,1.9495208,2.1317823
AML1_M2,D2,146,2,-0.37206465,6.1531997
AML1_M2,F2,171,3,-2.058278,3.791917
AML1_M2,D2,5,12,6.637843,5.0185785
AML1_M2,F2,229,7,0.15014929,6.2918773
AML1_M2,H2,60,7,-1.7724446,5.3780913
AML1_M2,B2,77,19,-1.769006,5.348222
AML1_M2,H2,120,12,-0.91402835,7.4408584
AML1_M2,B2,189,8,-2.7280917,5.648835
AML1_M2,D2,134,20,-2.513808,5.8180423
AML1_M2,D2,78,15,0.059800804,6.0647373
AML1_M2,H2,248,7,-2.371808,5.6844854
AML1_M2,B2,194,36,-1.5087129,6.036787
AML1_M2,J2,45,7,-0.77665675,5.84779
