image_name,channel,plate,row,column,time,plane,resolution_x,resolution_y,resolution_z,center_x,center_y,center_z,fov
p1_wB2_t1_m1_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2934.4178546458143,0.0,p1_wB2_t1_m1
p1_wB2_t1_m1_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2934.4178546458143,0.0,p1_wB2_t1_m1
p1_wB2_t1_m1_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2934.4178546458143,0.0,p1_wB2_t1_m1
p1_wB2_t1_m1_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2934.4178546458143,0.0,p1_wB2_t1_m1
p1_wB2_t1_m1_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2934.4178546458143,0.0,p1_wB2_t1_m1
p1_wB2_t1_m2_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2014.1328546458142,0.0,p1_wB2_t1_m2
p1_wB2_t1_m2_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2014.1328546458142,0.0,p1_wB2_t1_m2
p1_wB2_t1_m2_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2014.1328546458142,0.0,p1_wB2_t1_m2
p1_wB2_t1_m2_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2014.1328546458142,0.0,p1_wB2_t1_m2
p1_wB2_t1_m2_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2014.1328546458142,0.0,p1_wB2_t1_m2
p1_wB2_t1_m3_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2014.1328546458142,0.0,p1_wB2_t1_m3
p1_wB2_t1_m3_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2014.1328546458142,0.0,p1_wB2_t1_m3
