donor,well,fov,id,umap_x,umap_y,NUCLEUS METCENTER-X,NUCLEUS METCENTER-Y
AML1_M2,H2,190,11,2.4326212,1.1583457,2433.8212890625,22073.291015625
AML1_M2,B2,18,12,3.2968593,1.878749,2628.383056640625,1945.4403076171875
AML1_M2,F2,193,6,0.9398808,5.0200195,2004.174072265625,15764.576171875
AML1_M2,D2,69,6,-0.85433644,7.3805213,1927.8526611328125,8446.3056640625
AML1_M2,J2,9,19,-1.2526349,5.7826324,1980.7796630859373,26599.158203125
AML1_M2,H2,119,7,-1.8006616,5.656105,2871.743408203125,21608.603515625
AML1_M2,D2,192,4,-1.9850746,5.1865993,2346.60205078125,9735.279296875
AML1_M2,H2,167,15,-1.3540683,5.651322,4010.560302734375,22208.4765625
AML1_M2,J2,240,11,-2.6185324,5.7905874,3558.794921875,28980.837890625
AML1_M2,F2,214,2,-2.3751426,5.989935,3339.625244140625,16139.455078125
AML1_M2,B2,105,2,0.6107025,5.799429,4064.572021484375,2848.5849609375
AML1_M2,F2,245,7,-1.368274,8.085625,2805.932373046875,16458.55078125
AML1_M2,F2,167,10,1.2447902,7.79284,4090.143798828125,15902.5224609375
AML1_M2,D2,32,3,3.3567464,9.240049,3692.905029296875,8253.1494140625
AML1_M2,B2,241,17,0.3354786,7.636506,3099.80712890625,4034.54931640625
AML1_M2,B2,196,17,-2.4319203,5.7596264,2067.60205078125,3685.093505859375
AML1_M2,H2,83,8,-1.2531556,4.4489455,2469.168701171875,21230.21484375
AML1_M2,B2,168,18,-1.2594942,2.7635326,4183.1513671875,3641.98828125
AML1_M2,D2,164,27,1.896021,0.7844074,4163.17333984375,9422.7138671875
AML1_M2,B2,158,17,-1.8248991,2.1813693,3952.630615234375,3090.6904296875
AML1_M2,D2,17,5,-1.3404714,5.7218347,2614.283935546875,8138.5732421875
AML1_M2,H2,225,5,-0.6617948,5.81863,4091.67529296875,22232.44140625
AML1_M2,J2,66,20,0.29026046,-0.44471228,2475.06640625,26995.671875
AML1_M2,D2,167,4,-0.6740129,5.642313,4112.103515625,9786.990234375
AML1_M2,H2,64,13,3.3472078,0.04832425,2699.439697265625,20912.728515625
AML1_M2,H2,103,25,0.34402293,6.128513,4123.9287109375,21180.802734375
AML1_M2,B2,126,9,-2.5718985,5.8678656,2375.090576171875,2923.3564453125
AML1_M2,D2,46,6,-0.96871316,5.6995125,3942.692626953125,8392.228515625
AML1_M2,B2,143,21,1.648487,2.122071,2534.8134765625,3400.544677734375
AML1_M2,F2,79,6,0.56737655,6.154337,2255.802734375,15131.2939453125
AML1_M2,D2,126,23,-2.789185,5.803278,2357.33447265625,9002.25
AML1_M2,J2,237,16,-2.3803344,-1.7135113,3511.196044921875,28846.904296875
AML1_M2,J2,139,17,2.7101994,6.631795,2193.775390625,28054.7734375
AML1_M2,B2,130,26,-1.9512283,5.491387,2078.9755859375,2868.603271484375
AML1_M2,B2,64,29,-1.3567982,5.09319,2650.071533203125,2433.87353515625
AML1_M2,H2,67,7,2.917286,6.9384484,2290.44970703125,20950.763671875
AML1_M2,B2,68,19,-1.4502877,5.5834894,2448.90625,2326.38818359375
AML1_M2,B2,81,24,6.319822,2.406495,2626.84326171875,2611.486328125
AML1_M2,B2,109,34,-1.9222511,-2.1579647,3728.168212890625,2833.37451171875
AML1_M2,B2,183,2,0.08378959,5.9329515,2915.78173828125,3561.674560546875
AML1_M2,B2,188,24,-2.7143366,5.7620096,2643.3564453125,3596.140869140625
AML1_M2,H2,138,14,-2.3311727,3.5910163,2440.781494140625,21709.03515625
AML1_M2,B2,97,29,-1.386978,-2.8131092,3831.35693359375,2539.6484375
AML1_M2,J2,125,15,-2.2909267,-0.2244458,2306.944580078125,27571.63671875
AML1_M2,H2,74,10,-1.4014248,5.783473,2074.060302734375,21078.8671875
AML1_M2,F2,44,6,-0.97486454,5.7448583,4211.29345703125,14789.048828125
AML1_M2,B2,37,23,-1.1280894,5.521662,4100.25048828125,1985.72705078125
AML1_M2,D2,57,13,-2.0174186,5.1052103,2802.1220703125,8424.8251953125
AML1_M2,B2,91,11,0.33027843,4.91413,3146.958740234375,2678.231201171875
AML1_M2,H2,107,7,0.07944293,2.9720433,4051.6875,21533.056640625
AML1_M2,H2,31,9,0.55435973,6.1960196,3449.466796875,20598.5234375
AML1_M2,B2,244,23,-2.0927818,5.640804,3256.436767578125,4254.6552734375
AML1_M2,F2,213,1,0.20660113,5.861331,3131.21826171875,16097.6728515625
AML1_M2,H2,153,9,-1.4378859,4.873026,3425.864501953125,21715.126953125
AML1_M2,D2,76,2,-2.6980443,5.820754,2134.92578125,8951.1884765625
AML1_M2,F2,52,10,2.5356271,2.21512,3583.51611328125,14832.0673828125
AML1_M2,B2,16,26,3.6846254,-0.6627856,2452.21533203125,2032.9500732421875
AML1_M2,J2,156,16,0.4656575,5.3992815,3667.33056640625,27959.828125
AML1_M2,B2,89,11,-1.7636322,5.354382,3109.871826171875,2562.539794921875
AML1_M2,D2,225,2,-0.23455349,6.0445795,4039.752197265625,9931.1025390625
AML1_M2,B2,141,23,-1.0188966,0.3429921,2468.377197265625,3184.237548828125
AML1_M2,J2,21,11,3.8911438,-1.1985704,2923.762451171875,26664.88671875
AML1_M2,D2,218,6,-2.3248267,5.7324696,3587.726318359375,9879.2275390625
